9.88008970060542e-001	1
3.00198449639678e+000	0.999
4.97808795409221e+000	9.89837349296961e-001
7.03023486057948e+000	9.60514305165429e-001
8.96880831993151e+000	8.43421458131157e-001
1.09841521274573e+001	6.18673459458278e-001
1.30003511107267e+001	3.71599861780026e-001
1.49795759598859e+001	1.75601005112148e-001
1.68830139129763e+001	7.89367463930415e-002
1.90160787699934e+001	2.42717876267515e-002
2.09973987997242e+001	7.02888443345846e-003
2.29794029700498e+001	1.73471772951520e-003
2.38937202246131e+001	1.01121549422066e-003
24	0
