1.02583586626140e+000	1.00
1.30319148936170e+001	9.90067352522671e-001
1.50075987841945e+001	9.60857445019322e-001
1.69832826747720e+001	8.69573624340539e-001
1.89969604863222e+001	7.41211581397914e-001
2.10106382978723e+001	5.43937665427229e-001
2.30623100303951e+001	3.57658217758939e-001
2.50000000000000e+001	1.85072137314101e-001
2.70136778115502e+001	8.93032063311274e-002
2.90273556231003e+001	4.22398671245763e-002
3.10030395136778e+001	1.72008192790467e-002
3.30167173252280e+001	7.21741209211999e-003
3.50303951367781e+001	3.44803967442692e-003
3.70060790273556e+001	1.89433440667391e-003
3.90197568389058e+001	1.40410260126724e-003
4.10334346504559e+001	1.19683610495832e-003
4.30091185410334e+001	1.17317867956210e-003
4.50227963525836e+001	1.14998888191713e-003
4.69984802431611e+001	1.12725746859518e-003
4.90121580547113e+001	1.11606081754344e-003
50	0
