9.50051383845388e-001	1
9.00608176555186e+000	9.99600068363322e-001
1.10201855682496e+001	9.79731676066919e-001
1.29584597160914e+001	9.22632889038301e-001
1.49732049005968e+001	7.78408766379358e-001
1.69881211202509e+001	6.30995044407196e-001
1.89652507888385e+001	4.86568753955189e-001
2.09805945963644e+001	3.56911922706796e-001
2.29958956451030e+001	2.64434450580481e-001
2.49732391076266e+001	1.93970465047306e-001
2.69504970525757e+001	1.45155487175184e-001
2.90037129287424e+001	1.09716003943577e-001
3.09807570797556e+001	8.63114728104448e-002
3.29956732994097e+001	6.99659535852850e-002
3.50105895190638e+001	5.67159208585058e-002
3.69872488409925e+001	4.88162917010621e-002
3.89639081629212e+001	4.20169557219804e-002
4.09783540359164e+001	3.80175690100738e-002
4.29926288737629e+001	3.58017832664856e-002
4.50069464703965e+001	3.33798850114256e-002
4.69830499280919e+001	3.27164702377998e-002
4.89971964895769e+001	3.17473277192414e-002
60	0
